what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237099360528
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237099369958
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1237099369977
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1237099372424
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237099377367
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237099385836
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1237099385844
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237099391846
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237099404988
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237099429279
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237099459094
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237099471660
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237099473659
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237099473727
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1237099474149
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1237099474150
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.206.v20090115,org.eclipse.jst.server.generic.jboss,1237099474150
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1237099474150
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1237099474150
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1237099474150
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1237099474150
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1237099474150
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1237099474150
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.0.6.v200805152355,org.eclipse.datatools.connectivity.oda.template.ui,1237099474150
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1237099474150
