what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.303.v200901290024,org.eclipse.wst.sse.core,1237100330000
started,bundle,org.eclipse.wst.validation,1.2.6.v200902121900,org.eclipse.wst.validation,1237100330001
started,bundle,org.eclipse.wst.web,1.1.206.v200812100430,org.eclipse.wst.web,1237100330001
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1237100330002
started,bundle,org.eclipse.wst.xml.core,1.1.307.v200812040936,org.eclipse.wst.xml.core,1237100330003
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237100331265
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237100342491
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1237100342532
started,bundle,org.eclipse.jst.servlet.ui,1.1.203.v200810222000,org.eclipse.jst.servlet.ui,1237100343994
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildAutomatically,1237100367239
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1237100376831
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237100376865
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237100379040
executed,command,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.performTextSearchWorkspace,1237100379046
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237100391552
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237100396601
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237100396688
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1237100396967
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1237100396968
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.206.v20090115,org.eclipse.jst.server.generic.jboss,1237100396969
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1237100396970
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1237100396971
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1237100396972
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1237100396973
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1237100396974
